id,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
499,2023-05-31T00:00:06,28.4687,-96.00882,5.0,276.0,511.0,GO QUEST,IMO8987876,WDG7201,90.0,3.0,44.0,10.0,2.3,70.0,A
500,2023-05-31T00:00:00,35.05576,-75.91102,6.3,235.9,231.0,SHANNON DANN,IMO7207748,WCD6367,31.0,0.0,28.0,9.0,3.9,52.0,A
501,2023-05-31T00:00:04,31.17853,-87.94468,0.0,221.5,9.0,SUSANNAH V GRIFFIN,nan,WDI5498,31.0,12.0,22.0,nan,nan,57.0,A
502,2023-05-31T00:00:06,29.84518,-91.90839,7.1,269.8,511.0,EMILY P SETTOON,nan,WDD4736,31.0,0.0,16.0,7.0,nan,90.0,A
504,2023-05-31T00:00:01,29.17904,-89.25809,0.5,123.7,247.0,RIVER PILOT,nan,WDG5036,50.0,15.0,nan,nan,nan,50.0,A
505,2023-05-31T00:00:03,42.24563,-70.58375,9.1,165.7,162.0,AMERICN CONSTITUTION,nan,WDJ9210,60.0,0.0,85.0,17.0,3.0,60.0,A
506,2023-05-31T00:00:05,28.96314,-94.72783,8.8,245.8,245.0,GULF VENTURE,IMO977659700,WDK7433,52.0,1.0,152.0,23.0,25.5,52.0,A
507,2023-05-31T00:00:05,39.89852,-75.21323,0.0,296.0,511.0,HIGH ROLLER,IMO7045970,WDD2839,31.0,0.0,28.0,8.0,4.2,52.0,A
508,2023-05-31T00:00:03,30.38832,-81.54597,0.0,247.2,511.0,HARRIET MORAN,IMO7713498,WXT3652,31.0,0.0,30.0,8.0,4.0,52.0,A
509,2023-05-31T00:00:05,30.35789,-88.50578,0.0,360.0,511.0,MADISON GAIL,nan,WDG9129,60.0,0.0,22.0,5.0,nan,60.0,A
510,2023-05-31T00:00:09,29.14608,-90.21129,0.0,14.9,331.0,FAST LION,IMO9772967,WDJ3848,60.0,0.0,58.0,nan,nan,90.0,A
511,2023-05-31T00:00:05,38.5385,-90.25599,0.0,360.0,511.0,CARRIE ELIZABETH,IMO0599138,WDN4132,52.0,0.0,20.0,8.0,0.0,52.0,A
512,2023-05-31T00:00:08,30.23986,-91.12499,0.0,265.6,340.0,LAURA TAMBLE,IMO5033399,WCY8150,31.0,0.0,43.0,10.0,nan,0.0,A
513,2023-05-31T00:00:07,38.53992,-90.24981,0.0,72.2,511.0,INGRAM DUPO,nan,0000000,90.0,15.0,52.0,14.0,3.3,90.0,A
514,2023-05-31T00:00:18,29.12201,-90.20624,0.0,360.0,357.0,CROSBY CRUSADER,IMO8964616,WCZ3649,31.0,5.0,30.0,9.0,3.9,52.0,A
515,2023-05-31T00:00:18,41.12884,-70.56351,9.0,126.6,511.0,CHALLENGE,IMO7743534,WDD5648,30.0,nan,19.0,6.0,nan,nan,B
516,2023-05-31T00:00:04,49.29635,-122.94495,8.6,275.4,275.0,ISLAND RAIDER,IMO9802360,CFA2784,52.0,15.0,25.0,12.0,4.0,52.0,A
517,2023-05-31T00:00:08,47.66351,-122.39233,0.0,105.0,359.0,FRONTIER SPIRIT,IMO8907151,WDE8674,30.0,0.0,41.0,9.0,nan,30.0,A
518,2023-05-31T00:00:00,48.95027,-125.55729,0.0,301.3,85.0,PACIFIC LEGACY NO 1,IMO9211810,CFA3064,30.0,0.0,37.0,10.0,6.0,30.0,A
519,2023-05-31T00:00:00,40.69425,-74.01996,8.2,71.4,511.0,MANHATTAN,nan,WDD8872,60.0,15.0,23.0,4.0,nan,99.0,A
520,2023-05-31T00:00:06,29.77186,-95.10171,0.0,263.1,277.0,BOYD GOLDING,nan,WDC9793,31.0,12.0,22.0,10.0,nan,57.0,A
521,2023-05-31T00:00:00,37.90561,-122.37204,0.1,149.4,54.0,ALTA JUNE,IMO9552290,WDE5645,31.0,0.0,23.0,10.0,nan,31.0,A
522,2023-05-31T00:00:02,30.17775,-93.31655,6.6,217.4,202.0,LINDSEY GRAHAM,nan,WDG9563,31.0,12.0,24.0,nan,nan,57.0,A
523,2023-05-31T00:00:04,29.60306,-89.86678,0.0,282.8,511.0,MISS EFFIE,nan,WYR3654,60.0,0.0,13.0,4.0,nan,30.0,A
524,2023-05-31T00:00:01,29.62168,-94.99784,9.2,200.5,194.0,TERESA,nan,nan,99.0,0.0,8.0,3.0,0.0,99.0,A
525,2023-05-31T00:00:07,27.91721,-82.44486,0.9,315.0,354.0,SUNSHINE STATE,IMO9408114,WDE4432,80.0,0.0,183.0,32.0,12.8,83.0,A
526,2023-05-31T00:00:03,29.99024,-90.42545,0.0,92.3,511.0,STEEL SKIPPER,nan,WDL8950,31.0,15.0,30.0,10.0,9.0,31.0,A
527,2023-05-31T00:00:03,30.39583,-81.41527,0.0,197.4,197.0,US GOV VESSEL,nan,NCOO,0.0,0.0,0.0,0.0,0.0,0.0,A
528,2023-05-31T00:00:08,29.37569,-94.89013,0.0,196.7,269.0,AZALEA GALAXY,IMO9343778,3EEV4,80.0,0.0,147.0,24.0,9.5,80.0,A
529,2023-05-31T00:00:02,48.1061,-122.77477,0.0,333.5,511.0,HARMONY,nan,WDJ4527,30.0,0.0,21.0,5.0,nan,30.0,A
530,2023-05-31T00:00:00,40.6255,-74.20242,0.8,151.1,293.0,DEAN REINAUER,IMO9653264,WDG7107,31.0,0.0,35.0,10.0,4.9,52.0,A
531,2023-05-31T00:00:02,30.39141,-91.21269,0.7,59.2,511.0,EARL ETHERIDGE,nan,WDJ6519,31.0,0.0,51.0,12.0,nan,32.0,A
532,2023-05-31T00:00:04,29.58458,-90.37571,0.0,105.7,511.0,MORGAN RAY,nan,WDL8405,52.0,12.0,22.0,8.0,2.5,52.0,A
533,2023-05-31T00:00:02,29.83326,-93.95796,0.0,164.9,139.0,CHRIS MILLER,IMO1307034,WDM4918,57.0,12.0,116.0,34.0,3.0,57.0,A
535,2023-05-31T00:00:05,38.594,-82.23606,5.9,286.2,511.0,O NELSON JONES,nan,WDE2106,31.0,0.0,46.0,12.0,nan,31.0,A
536,2023-05-31T00:00:02,47.65729,-122.37944,0.0,335.2,511.0,ST JOSEPH,nan,WDG3842,30.0,0.0,20.0,nan,nan,30.0,A
537,2023-05-31T00:00:02,46.16789,-123.91437,0.0,360.0,511.0,GEORGE ALLEN,IMO7309613,WBT7376,30.0,7.0,21.0,7.0,nan,30.0,A
538,2023-05-31T00:00:03,30.01228,-95.11306,0.0,360.0,511.0,OKINAWA,nan,WDL2735,31.0,0.0,14.0,10.0,0.0,31.0,A
539,2023-05-31T00:00:01,48.50696,-122.67675,0.0,202.8,226.0,WSF YAKIMA,IMO8835360,WCD7863,60.0,0.0,116.0,22.0,5.5,60.0,A
540,2023-05-31T00:00:04,30.05468,-93.71628,5.0,78.9,83.0,RESOLUTION,IMO0000072,WDN5065,31.0,0.0,25.0,10.0,2.8,31.0,A
541,2023-05-31T00:00:06,36.95143,-76.33113,0.0,77.6,511.0,USS NEW YORK,nan,NNYK,90.0,0.0,196.0,31.0,nan,0.0,A
542,2023-05-31T00:00:01,29.68521,-91.29704,0.0,344.9,511.0,FOURCHON RUNNER,IMO8973538,WDG5125,60.0,8.0,31.0,7.0,nan,60.0,A
543,2023-05-31T00:00:00,33.22655,-120.83296,11.2,148.4,149.0,SUNLEAF STAR,IMO9792424,D5MM8,70.0,0.0,nan,nan,nan,70.0,A
544,2023-05-31T00:00:02,29.40669,-94.74226,0.0,267.6,48.0,BOO SONIER,nan,WDG3281,31.0,0.0,21.0,nan,nan,57.0,A
545,2023-05-31T00:00:02,46.49129,-84.5944,11.9,318.0,315.0,MESABI MINER,IMO7390272,WYQ4356,70.0,0.0,304.0,32.0,8.5,70.0,A
546,2023-05-31T00:00:00,30.059,-93.36754,0.0,128.4,87.0,DAVE FOREMAN,nan,WDN3384,57.0,12.0,125.0,33.0,3.2,57.0,A
547,2023-05-31T00:00:05,29.29859,-94.84438,0.0,360.0,511.0,MARGARET K,IMO0691907,WDM3709,31.0,5.0,0.0,0.0,0.0,31.0,A
548,2023-05-31T00:00:03,38.62667,-90.17952,4.7,8.7,511.0,DIANE DENISE,nan,WDN4808,31.0,12.0,0.0,0.0,2.8,31.0,A
549,2023-05-31T00:00:04,30.47879,-91.19394,0.1,243.8,1.0,SAINT CRISPIN,IMO8992924,WDF6960,31.0,12.0,19.0,7.0,nan,52.0,A
550,2023-05-31T00:00:05,37.82844,-76.27859,0.0,288.8,511.0,G P KIMBERLY,IMO7108576,WCY2043,30.0,0.0,50.0,11.0,3.3,30.0,A
551,2023-05-31T00:00:03,44.27484,-68.31317,0.0,298.3,511.0,CG47320,nan,nan,90.0,4.0,14.0,nan,nan,51.0,A
552,2023-05-31T00:00:05,39.25546,-76.55268,1.8,295.1,511.0,DIANE MORAN,IMO9253612,WDG2450,31.0,5.0,28.0,9.0,3.5,52.0,A
553,2023-05-31T00:00:03,28.56951,-96.62313,0.0,249.1,511.0,SYDNEY RAE,IMO8635825,WDJ3355,31.0,0.0,17.0,8.0,nan,52.0,A
554,2023-05-31T00:00:07,29.3337,-94.77234,0.0,0.0,511.0,CG45760,nan,nan,90.0,0.0,nan,nan,nan,51.0,A
555,2023-05-31T00:00:00,29.92333,-90.20673,3.7,272.4,511.0,WISE ONE,nan,WDE6403,31.0,0.0,21.0,8.0,nan,31.0,A
556,2023-05-31T00:00:01,27.86527,-97.05044,5.3,23.0,25.0,LYDIA ANN,nan,WDH8644,31.0,0.0,18.0,7.0,nan,52.0,A
557,2023-05-31T00:00:01,37.79057,-122.28804,0.0,345.1,511.0,MISS TAMMY,nan,WDG2944,60.0,0.0,27.0,6.0,nan,69.0,A
558,2023-05-31T00:00:04,38.23923,-85.83835,7.4,196.2,198.0,A B YORK,nan,WDJ2304,31.0,12.0,nan,nan,nan,90.0,A
559,2023-05-31T00:00:04,40.6525,-74.0818,5.7,242.3,511.0,ROBERT IV,nan,WDC3892,31.0,0.0,16.0,6.0,nan,52.0,A
560,2023-05-31T00:00:03,29.35371,-89.46617,14.0,36.6,511.0,SEA CHARGER,IMO7739507,WDJ3602,30.0,15.0,49.0,9.0,nan,30.0,A
561,2023-05-31T00:00:03,41.12583,-73.87883,4.3,178.8,179.0,SASSAFRAS,IMO9544243,WDE5807,31.0,0.0,29.0,9.0,3.6,31.0,A
562,2023-05-31T00:00:04,36.90693,-76.08955,0.0,212.7,511.0,RICHMOND,nan,WDL5248,50.0,0.0,16.0,5.0,0.0,50.0,A
563,2023-05-31T00:00:06,40.73496,-73.96524,6.9,346.6,511.0,SKYLINE PRINCESS,nan,WDB7684,60.0,15.0,27.0,8.0,nan,69.0,A
564,2023-05-31T00:00:00,30.03577,-90.69587,0.0,270.1,511.0,CAPTAIN JEFFREY II,nan,WDB5050,60.0,15.0,17.0,5.0,nan,30.0,A
565,2023-05-31T00:00:01,30.03363,-90.68784,0.0,321.5,511.0,SHAWN WILLIAMS,nan,WDJ3307,31.0,0.0,nan,nan,nan,31.0,A
566,2023-05-31T00:00:00,36.84904,-76.31502,0.1,11.1,290.0,EASTERN BRANCH,IMO897156600,WDL7894,52.0,0.0,20.0,8.0,2.3,52.0,A
567,2023-05-31T00:00:02,37.4335,-123.57045,11.0,144.5,145.0,COSMIC ACE,IMO9779927,3EDH6,70.0,0.0,119.0,nan,nan,70.0,A
568,2023-05-31T00:00:00,29.65735,-91.09987,27.0,7.1,511.0,FRED JOSEPH,nan,WDL5635,0.0,0.0,18.0,4.0,0.0,0.0,A
569,2023-05-31T00:00:04,29.76264,-95.11161,0.0,206.3,511.0,MATTHEW,IMO8635461,WDI3464,31.0,12.0,20.0,7.0,nan,57.0,A
570,2023-05-31T00:00:03,27.81964,-97.47277,0.0,254.2,19.0,KARL G ANDREN,nan,WDG9609,31.0,0.0,23.0,nan,nan,52.0,A
571,2023-05-31T00:00:03,40.70268,-73.97308,0.1,308.5,46.0,GERRY BORDELON,IMO9607538,WDH6434,90.0,0.0,50.0,11.0,3.0,70.0,A
572,2023-05-31T00:00:04,47.65694,-122.36749,0.0,179.9,227.0,JENNIFER A,IMO7937501,WDC9097,30.0,15.0,24.0,7.0,nan,30.0,A
573,2023-05-31T00:00:07,29.12636,-90.21665,0.0,194.0,166.0,SARAH BORDELON,IMO9350367,WDJ4762,90.0,0.0,49.0,10.0,3.0,79.0,A
574,2023-05-31T00:00:08,27.96278,-92.66877,11.8,140.9,141.0,SOLAR SUZANNE,IMO9877638,V7A2674,80.0,0.0,169.0,25.0,8.2,80.0,A
575,2023-05-31T00:00:00,46.57799,-87.38598,0.0,319.6,317.0,AMERICAN MARINER,IMO7812567,WQZ7791,70.0,0.0,222.0,23.0,9.2,70.0,A
576,2023-05-31T00:00:08,29.37639,-94.89205,0.0,112.6,90.0,NORDROSE,IMO9521435,CQAE9,80.0,0.0,229.0,42.0,11.1,80.0,A
577,2023-05-31T00:00:01,40.67436,-74.13955,0.0,189.5,152.0,AVA M MCALLISTER,IMO9857561,WDK4592,52.0,0.0,33.0,12.0,0.0,52.0,A
578,2023-05-31T00:00:01,28.28952,-92.73692,9.8,37.4,511.0,THERESE DANOS,IMO9097135,WDH3296,90.0,15.0,45.0,10.0,nan,70.0,A
